model_name,dropout,filtres_1,filtres_2,kernel_1,kernel_2,activation_1,activation_2,activation_3,epochs_effectuees,best_val_loss,best_val_acc,test_loss,test_acc
"conv_4relu-8relu_dropout_0.3relu_kernel_(2, 2)_(2, 2)",0.3,4,8,"(2, 2)","(2, 2)",relu,relu,relu,6,1.2007372379302979,0.835777759552002,1.2130615711212158,0.8238999843597412
"conv_4relu-8relu_dropout_0.3softmax_kernel_(2, 2)_(2, 2)",0.3,4,8,"(2, 2)","(2, 2)",relu,relu,softmax,17,0.07454519718885422,0.9806666374206543,0.07694502919912338,0.9760000109672546
"conv_4relu-8softmax_dropout_0.3relu_kernel_(2, 2)_(2, 2)",0.3,4,8,"(2, 2)","(2, 2)",relu,softmax,relu,5,1.0947086811065674,0.8103333115577698,1.1941602230072021,0.6812000274658203
"conv_4softmax-8relu_dropout_0.3relu_kernel_(2, 2)_(2, 2)",0.3,4,8,"(2, 2)","(2, 2)",softmax,relu,relu,4,1.5700671672821045,0.7603333592414856,1.6642353534698486,0.7523999810218811
"conv_4relu-8softmax_dropout_0.3softmax_kernel_(2, 2)_(2, 2)",0.3,4,8,"(2, 2)","(2, 2)",relu,softmax,softmax,14,0.07193489372730255,0.9792222380638123,0.07538159936666489,0.9749000072479248
"conv_4softmax-8relu_dropout_0.3relu_kernel_(2, 2)_(2, 2)",0.3,4,8,"(2, 2)","(2, 2)",softmax,relu,relu,6,1.2312068939208984,0.8142222166061401,1.301344633102417,0.7903000116348267
"conv_4softmax-8softmax_dropout_0.3relu_kernel_(2, 2)_(2, 2)",0.3,4,8,"(2, 2)","(2, 2)",softmax,softmax,relu,5,1.255122423171997,0.8086666464805603,1.4072970151901245,0.7944999933242798
"conv_4softmax-8softmax_dropout_0.3softmax_kernel_(2, 2)_(2, 2)",0.3,4,8,"(2, 2)","(2, 2)",softmax,softmax,softmax,18,0.06206873804330826,0.9826666712760925,0.06842633336782455,0.978600025177002
"conv_4relu-8relu_dropout_0.3relu_kernel_(3, 3)_(2, 2)",0.3,4,8,"(3, 3)","(2, 2)",relu,relu,relu,5,1.243421196937561,0.7914444208145142,1.2656739950180054,0.7401000261306763
"conv_4relu-8relu_dropout_0.3softmax_kernel_(3, 3)_(2, 2)",0.3,4,8,"(3, 3)","(2, 2)",relu,relu,softmax,16,0.05695432424545288,0.9835555553436279,0.05827360972762108,0.9815000295639038
